1000000	0.015601	0.0226465	0.0175045	0.016264
2000000	0.057619000000000004	0.0318755	0.030407499999999997	0.032481
3000000	0.059260999999999994	0.046169	0.046186000000000005	0.047294
4000000	0.075917	0.0661335	0.0615625	0.0622225
5000000	0.102977	0.0764975	0.082738	0.08744350000000001
6000000	0.105544	0.0984515	0.0985535	0.0932755
7000000	0.1287915	0.116394	0.108688	0.108696
8000000	0.150732	0.132702	0.1353075	0.120979
9000000	0.18161899999999997	0.142716	0.140332	0.1495755
10000000	0.175823	0.154914	0.1576265	0.1621555
11000000	0.203058	0.18332900000000002	0.187235	0.176623
