112	503,480	138,857	503,507	138,875
176	1,168,108	323,424	1,168,107	323,425
240	2,127,522	589,848	2,127,522	589,848
304	3,381,849	938,202	3,381,858	938,205
368	4,931,087	1,368,466	4,931,088	1,368,465
432	6,775,252	1,880,662	6,775,252	1,880,660
496	8,914,380	2,474,809	8,914,379	2,474,810
560	11,348,365	3,150,839	11,348,364	3,150,840
624	14,077,255	3,908,789	14,077,258	3,908,791
688	17,101,071	4,748,667	17,101,074	4,748,666
752	20,419,788	5,670,457	20,419,787	5,670,458
816	24,033,410	6,674,158	24,033,415	6,674,162
880	27,941,958	7,759,798	27,941,957	7,759,796
944	32,145,432	8,927,356	32,145,413	8,927,345
1008	36,643,774	10,176,813	36,643,784	10,176,821
1072	41,437,057	11,508,208	41,437,066	11,508,217
