112	503,479	138,858	503,507	138,875
176	1,168,108	323,424	1,168,107	323,425
240	2,127,522	589,848	2,127,521	589,849
304	3,381,858	938,205	3,381,859	938,204
368	4,931,087	1,368,466	4,931,087	1,368,466
432	6,775,251	1,880,661	6,775,251	1,880,661
496	8,914,380	2,474,809	8,914,380	2,474,809
560	11,348,365	3,150,839	11,348,365	3,150,839
624	14,077,254	3,908,790	14,077,258	3,908,791
688	17,101,072	4,748,666	17,101,073	4,748,667
752	20,419,788	5,670,457	20,419,787	5,670,458
816	24,033,410	6,674,158	24,033,415	6,674,162
880	27,941,977	7,759,806	27,941,957	7,759,796
944	32,145,431	8,927,357	32,145,412	8,927,346
1008	36,643,775	10,176,812	36,643,784	10,176,821
1072	41,437,058	11,508,207	41,437,085	11,508,225
