112	503,481	138,860	503,505	138,874
176	1,168,108	323,424	1,168,108	323,424
240	2,127,512	589,844	2,127,522	589,848
304	3,381,859	938,204	3,381,859	938,204
368	4,931,087	1,368,466	4,931,088	1,368,467
432	6,775,252	1,880,660	6,775,252	1,880,660
496	8,914,379	2,474,810	8,914,379	2,474,810
560	11,348,365	3,150,839	11,348,365	3,150,839
624	14,077,254	3,908,790	14,077,259	3,908,790
688	17,101,071	4,748,667	17,101,074	4,748,666
752	20,419,788	5,670,457	20,419,788	5,670,457
816	24,033,409	6,674,159	24,033,414	6,674,163
880	27,941,959	7,759,797	27,941,958	7,759,795
944	32,145,431	8,927,357	32,145,413	8,927,347
1008	36,643,775	10,176,812	36,643,783	10,176,822
1072	41,437,058	11,508,207	41,437,067	11,508,216
